N(bp),seed1,seed2,nProtein,pca1,pca2,pca3,positions,,,
105,261892,5004,2,51.60867926,23.07717376,5.349822795,13,65,,
105,981708,35007,2,45.93589001,28.55117447,4.606243941,12,64,,
105,827750,80003,2,49.5445069,24.38274174,6.893185067,36,89,,
105,468402,20012,2,44.80348746,27.55403043,4.194773611,19,71,,
105,400069,210000,2,49.91916259,20.81499489,4.865128617,34,87,,
105,196090,40000,2,46.05525228,24.67295195,4.1242729,23,75,,
105,160110,25003,2,50.04641851,24.31856883,3.296878219,13,66,,
105,821921,85007,4,35.40106604,31.28346125,14.89944524,14,42,56,86
105,797288,190003,2,47.54246405,27.34984556,3.654645348,6,58,,
105,609247,125007,2,47.61686886,27.62893663,3.78664573,19,71,,
105,336216,140007,2,49.89891002,25.59927195,3.819334763,2,55,,
105,404322,19,2,47.92576616,24.73187663,5.100194783,1,53,,
105,422388,205007,2,47.8510406,26.37798829,3.80968524,3,65,,
105,926086,150008,2,46.25345757,28.78195876,3.069959942,9,62,,
105,574373,55017,2,48.23947751,21.72170883,8.046295653,11,63,,
105,641549,10029,2,46.63581702,26.2709193,2.837646558,6,59,,
105,638720,230010,2,46.75481142,23.93785905,5.543501388,30,83,,
105,427561,220015,2,49.13305779,30.91351909,2.346882268,8,71,,
105,153012,75021,2,49.9710549,22.08191335,6.455110544,26,78,,
105,15857,155026,2,46.83878997,28.89956467,5.764224999,21,73,,
105,176217,115030,2,47.32677287,27.49210066,3.335055963,33,86,,
105,87314,30040,2,48.76547678,27.40409144,3.578475485,27,79,,
105,118789,15046,2,49.51845304,26.91237247,5.430168187,33,85,,
105,450875,90041,2,50.84854586,25.88725402,3.041640461,32,85,,
105,467526,110042,2,48.98049481,29.95581995,4.358345851,2,54,,
105,861594,105043,2,48.13222872,27.31731018,3.92519822,37,90,,
105,473678,70050,2,46.64009838,21.70105532,3.987210726,8,61,,
105,975438,165050,3,43.40474568,25.84185805,11.51384351,23,47,87,
105,586932,95057,2,50.44366561,24.61625616,5.082498629,12,65,,
105,14460,50060,2,50.68259179,26.48811801,3.966312872,8,61,,
105,875004,200049,2,46.9151105,26.85624663,3.971025393,8,60,,
105,523223,195057,3,45.41781597,28.26078409,8.480924629,7,48,72,
105,293492,235049,2,50.87309174,21.32624224,2.699457884,29,82,,
105,444628,100063,2,45.55707672,30.68191527,4.62283914,3,46,,
105,447071,160062,2,46.60097831,27.26565739,4.913828056,30,82,,
105,60089,65067,2,47.3445847,24.59542467,2.501131399,28,80,,
105,270881,45073,2,48.08451839,23.98018459,3.339033088,36,89,,
105,681920,60050,2,48.19087631,28.05932653,4.542157463,33,86,,
105,898729,130071,2,47.18387613,24.73137181,5.027090658,6,58,,
105,217931,185067,2,46.97754462,23.05340981,2.987110471,17,69,,
105,898729,120074,2,50.60454842,23.5717318,2.656450548,6,59,,
105,272819,225078,2,45.95097057,24.35093375,4.697115445,39,81,,
105,907799,180082,2,48.96107718,23.13099747,4.523510169,21,73,,
105,574921,175084,2,47.47834637,25.34860672,2.706346614,26,78,,
105,538387,145088,2,46.12573644,26.78562801,4.863459958,22,75,,
105,406520,135156,2,48.27515106,25.00980771,1.779626625,26,78,,
105,815044,170169,2,46.971863,26.46932827,4.40578644,32,84,,
105,61706,215198,2,46.24960309,23.15538133,4.125064894,27,79,,
105,888103,125007,2,44.20212776,27.991365,2.40495328,19,71,,
105,409068,5010,2,49.05627382,31.20098077,3.909269512,1,65,,
105,479885,35007,2,46.54990492,29.55946934,3.173215508,11,64,,
105,256398,80003,2,49.02063821,23.24134383,6.405142764,36,89,,
105,560071,25003,2,46.66734083,24.65263108,4.445393928,13,66,,
105,265888,140007,2,47.1721457,21.63589232,5.690343365,3,55,,
105,540142,19,2,49.39998779,23.12523519,4.638245276,1,53,,
105,939012,40092,2,51.6627071,26.41674097,4.700875934,26,78,,
105,999914,210115,2,47.30989688,26.38705305,7.860850362,3,56,,
105,280757,190050,2,44.00904345,25.65919651,4.414740985,34,76,,
105,74468,20187,2,49.70288581,28.44206119,3.029777961,39,91,,
105,758354,205044,2,49.86124203,24.79697442,5.370206268,12,65,,
105,800196,55017,2,51.38704659,22.19969448,6.256875872,11,63,,
105,983368,10029,2,46.11790909,26.47757689,2.883743705,7,59,,
105,707994,150136,2,48.69310135,22.29305096,6.606898935,14,67,,
105,952207,220025,2,47.1713012,19.41952799,9.079412621,8,61,,
105,266787,115030,2,49.14245974,26.35348253,3.429551895,33,86,,
105,938543,30040,2,49.45699116,23.54902387,2.07964299,27,79,,
105,180924,155043,2,47.23601314,27.19310754,2.355762854,19,72,,
105,801214,90041,2,51.88202478,24.74698103,2.30548983,32,85,,
105,609518,110042,2,45.91026743,28.6563624,3.238740684,12,54,,
105,660038,75081,2,46.22494466,24.596348,4.418313183,37,78,,
105,938711,70051,2,44.68336158,25.86899042,5.423971749,27,69,,
105,346337,15086,2,48.5403331,26.10582803,1.868908186,29,82,,
105,140482,230124,2,46.78024313,23.03306047,2.927054047,5,58,,
105,325036,95057,2,49.76606671,25.08150178,4.833558584,12,65,,
105,607097,50060,2,47.96435503,26.83959187,2.491324236,8,61,,
105,713896,200049,2,46.45335145,26.14282686,4.451931209,7,60,,
105,895680,105129,2,44.93705741,25.04098303,6.80992017,29,82,,
105,663468,160062,2,45.15170941,24.36572995,5.853429911,30,82,,
105,534792,100080,2,46.13841166,30.38321503,8.255149157,10,74,,
105,623563,60050,2,45.70626394,28.14071799,3.884197832,33,86,,
105,8229,130071,2,47.34406487,22.76265097,4.972132314,6,58,,
105,243915,185067,2,46.82692388,22.36215467,5.375305733,16,69,,
105,635896,235101,2,48.29659231,27.13006514,3.105244523,30,83,,
105,393439,120074,2,48.64076228,24.76688963,2.253592643,6,59,,
105,437452,180082,2,50.85624515,24.36715035,3.704556867,21,73,,
105,539547,65145,2,49.57215808,25.38165568,4.232770738,36,88,,
105,520665,45142,2,48.81660408,22.24592165,2.706807146,2,55,,
105,913100,175084,2,47.30606323,25.21725821,3.158897615,26,78,,
105,40117,225093,2,49.14814102,29.71463521,4.10420929,4,56,,
105,94293,145101,3,42.19749933,30.87085795,10.25713302,6,47,88,
105,259238,135169,2,49.90218046,27.02477512,4.500790322,22,74,,
105,87314,170235,2,48.83028521,26.2861777,2.786824862,27,79,,
105,368047,85145,2,48.45304077,26.35546509,2.548688442,16,69,,
105,972638,215203,2,45.63885791,28.36826829,2.710574602,8,60,,
105,689496,165096,3,47.22293121,24.69468787,6.378520639,9,49,72,
105,152146,195063,2,51.30470437,25.01885507,3.156195936,8,61,,
105,755950,5038,2,47.13343136,23.71233421,6.220732532,28,80,,
105,863733,125007,2,50.24420986,28.44675332,3.706963295,18,71,,
105,71238,35007,2,46.03733541,28.43917433,2.696867188,12,64,,
105,645284,80003,2,47.40258686,20.93660804,6.51737752,39,91,,
105,617514,25003,2,48.69665442,24.25722781,5.528117057,13,66,,
105,897084,140016,2,47.67626422,24.99865989,3.812068804,9,51,,
105,956636,40092,2,50.07834476,24.66886536,2.997619019,25,78,,
105,785823,210115,2,47.60280073,25.34693864,8.280309187,3,56,,
105,856710,190076,2,47.54050935,27.78800784,6.07456872,22,74,,
105,995779,116,2,46.79049489,27.18249783,3.882217716,22,75,,
105,91899,205044,2,48.80415293,25.59296091,2.031076828,13,65,,
105,818885,55017,2,47.85051629,22.6453469,7.225362706,11,63,,
105,824430,20228,3,43.70857566,34.20824575,5.202969222,15,47,88,
105,352502,10048,2,48.54496991,27.82871559,3.232847889,33,86,,
105,268745,150136,2,49.83511302,23.8634788,5.17096348,14,67,,
105,240082,115030,2,46.14090304,23.85857516,3.953433923,33,86,,
105,202089,220032,2,47.87678749,27.78953296,3.292879143,0,53,,
105,405469,30040,2,49.65422453,24.93671367,5.58097947,27,79,,
105,205948,155044,3,41.54358877,32.1046146,8.192585224,2,34,67,
105,979637,90044,2,47.39968384,24.15067616,2.699812226,20,73,,
105,363281,75081,2,49.7433141,23.98021577,4.9521574,26,78,,
105,318223,110056,2,49.03436919,24.39329523,3.589274644,36,89,,
105,29897,230124,2,46.93889295,25.40063088,3.067082499,5,58,,
105,731021,95057,2,44.73720319,25.93766445,5.978292097,13,65,,
105,84546,15093,2,41.8668383,30.12979338,6.553840064,27,79,,
105,862416,70070,3,42.4022302,33.15252593,6.949513434,0,43,75,
105,650868,50060,2,50.58000834,26.34963117,3.688734782,8,61,,
105,219464,200049,2,44.56123026,27.47331708,4.109794063,17,60,,
105,70876,105129,2,46.65250877,26.62218146,8.950206836,30,82,,
105,443949,160062,2,45.38477643,25.212836,7.45702039,30,82,,
105,239278,60050,2,48.49646652,26.7703663,2.431435212,33,86,,
105,464667,185067,2,48.17467468,23.11754507,4.543643661,16,69,,
105,53504,130099,2,46.31484991,28.00493638,3.8159677,27,79,,
105,883748,100151,2,49.83089834,28.17994829,5.136069128,4,57,,
105,602223,180082,2,48.83808092,24.27845252,5.13693334,21,73,,
105,683976,65145,2,46.64356599,26.8893476,4.284608639,36,88,,
105,405523,45142,2,49.91187976,26.8383359,2.119277532,2,55,,
105,403115,120104,2,46.94979548,27.03452107,2.486991806,19,71,,
105,593059,175084,2,46.78752362,22.62125765,3.70504818,25,78,,
105,898532,5038,2,46.78027735,22.78189992,6.676781002,28,80,,
105,262841,235159,2,48.27690648,26.68863928,6.012233293,31,84,,
105,784001,135169,2,49.12321119,28.55687662,2.754843433,22,74,,
105,636084,170235,2,48.38237361,25.95556977,3.657989458,27,79,,
105,710621,225160,2,47.43420455,26.28118214,7.122278399,31,82,,
105,545124,85145,2,49.10116272,26.50483464,4.649288655,17,69,,
105,303474,215203,2,44.07061964,28.80218518,3.692381295,8,60,,
105,981285,195063,2,50.18809423,25.15180776,4.781560824,8,61,,
105,102806,145124,2,47.17969748,20.85505037,5.539150266,39,91,,
105,642927,125007,2,47.8746306,29.00627206,2.302692272,19,71,,
105,454823,165116,2,47.000192,27.18726543,4.039806396,12,65,,
105,297309,190089,2,48.54889726,26.98559753,4.597557777,8,61,,
105,826891,35007,2,46.67002796,28.96672017,4.440578227,11,64,,
105,957256,80003,2,47.9865869,25.85249181,6.041465752,39,91,,
105,112966,25008,2,51.07122119,26.45800632,4.721516035,17,81,,
105,490403,40092,2,51.54743577,25.11148476,3.375148946,26,78,,
105,607160,210115,2,48.3461767,28.05148937,7.603537055,3,56,,
105,615385,175,2,47.05787371,25.87645808,2.679763975,39,81,,
105,320041,55017,2,47.72265706,21.85622713,4.408350023,11,63,,
105,567672,205054,3,42.2779081,36.23035723,6.657670151,17,49,91,
105,281403,10048,2,49.0970316,30.18373471,2.658514166,33,86,,
105,572642,115030,2,46.63939242,25.20181012,3.518534691,33,86,,
105,969047,140204,2,47.50987017,30.33518685,3.632837337,4,56,,
105,241140,30040,2,47.63063144,25.26403708,8.293713951,27,79,,
105,711608,150191,2,50.02888055,21.3134879,3.639786893,38,90,,
105,253742,220085,2,47.9366172,25.22530105,5.040130955,8,71,,
105,92453,90064,2,49.56855652,24.92378969,3.189248818,36,89,,
105,383983,15093,2,45.24934635,31.23274211,4.430820921,16,79,,
105,262884,110076,2,45.91673695,24.92696838,7.383777659,9,61,,
105,714803,50060,2,48.71692669,26.40135408,3.696632453,8,61,,
105,259319,200049,2,49.12880643,25.67233078,3.498994146,7,60,,
105,739004,230182,2,43.2728506,30.28279703,5.639940611,34,87,,
105,221349,105129,2,48.49272926,26.69936508,6.123461844,30,82,,
105,305564,160062,2,44.57694886,26.67165062,5.02311877,30,82,,
105,720782,60050,2,46.76776465,24.67203717,4.536329166,34,86,,
105,962245,75174,3,43.65606118,25.8787481,12.45661688,15,39,79,
105,945510,130099,2,50.99053005,29.54833646,2.836005376,17,79,,
105,762458,100151,2,48.42476726,28.76202226,5.753388609,4,57,,
105,206349,185078,2,48.69160986,21.8564659,5.779581554,38,91,,
105,297899,180082,2,47.31693807,21.28886031,4.63104754,21,73,,
105,840285,65145,2,46.86228776,26.69426711,4.256569574,36,88,,
105,903974,95206,2,51.19825817,23.80173088,7.490749577,17,70,,
105,418055,45142,2,49.38993435,26.786164,2.858940905,2,55,,
105,636084,20247,2,43.51332622,29.45313724,2.149196739,27,69,,
105,942813,175084,2,48.70528889,24.0718883,4.073605155,25,78,,
105,119450,5067,2,47.41905333,27.62642283,2.387866835,24,87,,
105,590302,235192,2,48.80571479,26.40991007,3.66388526,13,65,,
105,785591,135169,2,45.40289949,27.54081087,3.1835113,22,74,,
105,741152,170235,2,47.71066042,26.07746938,3.144124454,27,79,,
105,994173,225160,2,47.78547945,25.5273781,3.291137917,31,82,,
105,220204,85145,2,48.03987856,25.41116845,1.937098241,17,69,,
105,662579,155062,2,46.20420534,22.66219418,5.73684996,7,59,,
105,97278,215209,2,49.59036488,25.0868347,4.130632803,29,82,,
105,238059,70070,3,38.02430101,34.66689227,5.184856111,11,43,75,
105,958155,195063,2,47.03675013,24.54819192,4.00091841,8,61,,
105,15292,120232,2,45.39762517,27.35849181,2.419371546,23,76,,
105,467111,145124,2,46.1717848,24.86100108,6.300724355,39,91,,
105,65153,40092,2,48.991145,22.80585603,4.399662308,26,78,,
105,886440,165116,2,43.52849879,26.72210834,7.614463571,12,65,,
105,320752,190114,2,46.4507844,26.65438543,5.321130313,5,47,,
105,479093,35007,2,46.95954092,29.56008763,4.86211246,11,64,,
105,539731,80014,2,50.2809105,22.40476159,6.498952868,33,86,,
105,84060,25024,4,36.1475555,21.99247743,19.13689752,5,33,57,86
105,833915,125275,3,41.74173198,27.74079129,9.530771606,11,52,75,
105,544932,210115,2,47.59457463,25.51470915,7.479254454,3,56,,
105,591054,55017,2,49.63876113,22.48415958,3.679912432,11,63,,
105,647109,205084,2,44.67508036,25.4383273,7.681478874,20,73,,
105,205250,115030,2,46.32646943,24.23535443,3.710339797,33,86,,
105,532764,193,2,46.74185729,29.20788981,4.026753029,25,77,,
105,458162,10074,2,49.62879323,23.35610991,2.96742299,1,53,,
105,877130,30054,2,48.42684039,26.27616485,4.613231313,0,53,,
105,707122,140274,3,42.34306352,24.63390962,8.818785735,16,39,80,
105,395525,220086,2,50.04481742,23.43209584,6.764189156,33,86,,
105,77426,15093,2,48.98420325,29.99670454,3.709359459,16,79,,
105,716834,150201,2,48.34651681,25.49923447,5.301102758,25,78,,
105,888818,50060,2,49.41936051,26.71811449,4.518787099,8,61,,
105,536054,200059,3,43.96585848,30.74788044,9.330937578,2,34,75,
105,847010,105129,2,45.28425969,26.56434948,5.9800885,30,82,,
105,535874,160062,2,45.91853868,26.33563409,6.044996267,30,82,,
105,893926,90158,2,48.99165479,26.16905115,5.747656727,33,86,,
105,648749,60055,2,43.82619084,25.77955473,4.972589388,18,71,,
105,814966,100151,2,48.086549,27.69204655,2.745039417,4,57,,
105,114060,130099,2,45.50479562,29.58681841,4.776879318,27,79,,
105,628659,230207,2,48.92808331,21.95508113,3.21696664,16,68,,
105,618083,180082,2,46.01980214,21.78684961,4.093512302,21,73,,
105,410290,65145,2,46.98393253,24.94642693,2.9390625,36,88,,
105,854110,95206,2,45.16966532,24.45939722,7.622267288,17,70,,
105,469869,110205,2,48.65036158,23.53596397,6.245948352,39,91,,
105,704974,45142,2,48.02972588,26.27355763,2.452372032,2,55,,
105,439074,20270,2,47.80149814,23.8745345,3.782021825,14,66,,
105,200049,185149,2,48.94914467,24.35288435,4.308420721,8,60,,
105,63435,235192,2,44.29054719,26.00062806,6.26792762,13,65,,
105,195188,170235,2,48.41740454,26.41146636,4.671595132,26,79,,
105,604343,225160,2,48.32440897,28.85436519,5.411911408,31,82,,
105,150931,85145,2,51.37831928,25.23448171,2.82033435,16,69,,
105,353661,175156,2,47.53648593,28.45123711,3.689604685,34,87,,
105,547896,135188,2,49.11248391,25.74839461,4.105126746,3,56,,
105,300369,155074,2,45.44766563,25.52926979,4.824501776,32,85,,
105,275725,120232,2,49.21057842,26.23430801,4.632432024,22,76,,
105,639916,195127,2,44.30014143,25.92295918,7.490283068,38,80,,
105,683681,75183,2,47.12124839,22.09495297,6.059105859,21,74,,
105,111484,215328,2,47.97822973,26.91890381,7.808778754,13,65,,
105,186370,145124,2,46.50195193,23.7250761,6.082796116,39,91,,
105,838107,5086,2,46.9063638,28.34561365,3.673631936,14,67,,
105,140551,165116,2,48.12458595,26.23660761,6.172690164,13,65,,
105,497536,40117,2,48.9474218,28.1730621,3.579988149,3,56,,
105,122138,70105,2,45.51045343,26.24786865,2.622196802,23,76,,
105,102916,190122,2,47.95792653,25.4329004,5.659362088,25,78,,
105,885459,80086,2,44.61212034,31.50448925,8.672254701,32,85,,
105,518625,35151,2,44.64496828,28.80507664,4.04833306,5,68,,
105,379699,210115,2,49.21350488,29.17947706,4.713307609,3,56,,
105,984080,55017,2,48.61184428,22.75864808,4.441048954,11,63,,
105,412231,115030,2,46.44058585,25.10803942,2.743546854,33,86,,
105,227976,193,2,48.30346,27.85732603,2.566768863,24,77,,
105,170475,10074,2,49.75145024,24.08418126,4.16387636,1,53,,
105,815893,30056,2,49.51439063,23.50419265,2.552460867,4,57,,
105,87655,205213,2,44.16965343,28.44737907,4.567799835,25,77,,
105,98077,15093,2,46.31677507,28.5766711,5.360540852,27,79,,
105,525963,150201,2,45.41196122,23.43165503,4.015753374,26,78,,
105,114045,125275,3,40.02721573,27.19498316,9.060881953,11,52,75,
105,160919,50060,2,47.39869561,27.12320723,3.519825013,8,61,,
105,211332,220140,2,51.11602125,23.69442277,4.094193967,15,68,,
105,496982,105162,2,47.63932475,23.58686727,3.999916887,43,86,,
105,193786,60055,2,49.48084205,25.33608047,5.131927757,19,71,,
105,41614,160085,2,47.42416996,25.02405742,2.783948117,34,86,,
105,330877,100151,2,46.45589034,27.09587909,4.58579229,4,57,,
105,682390,90194,2,49.67515133,30.54313041,3.279262504,6,59,,
105,32237,130099,2,45.80562185,28.27275424,3.802158988,27,79,,
105,75697,230207,2,45.68983771,22.07556001,4.532701535,16,68,,
105,63261,180082,2,48.19806197,23.82316517,2.769295181,21,73,,
105,647217,65145,2,47.67727101,25.61497795,3.111214538,35,88,,
105,732521,95206,2,41.79005873,26.06672897,9.394359772,17,70,,
105,525494,45142,2,49.54141495,25.92879835,3.261509988,2,55,,
105,705022,20270,2,46.62033797,23.13720246,3.380986995,14,66,,
105,732442,185149,2,47.81799792,24.79042175,4.036700316,8,60,,
105,122279,110291,2,47.23462054,24.76774578,7.060985114,27,80,,
105,955694,235192,2,48.6327326,26.40480295,5.851073925,13,65,,
105,964085,25029,2,45.0234644,26.57213773,3.198540445,36,78,,
105,128857,225160,2,45.72505372,24.2409527,6.805666679,30,82,,
105,765610,85145,2,46.2977683,25.2626419,3.460355901,16,69,,
105,668217,140322,2,48.40036085,20.392469,2.97872046,10,52,,
105,957344,170248,2,49.86491219,24.50535373,3.041257154,5,57,,
105,768208,175156,2,48.72259498,25.0461418,4.179521583,34,87,,
105,958439,135207,2,48.91852419,26.84309652,6.319848341,21,74,,
105,746268,120232,2,45.45925476,26.49556138,3.889722665,23,76,,
105,548792,155145,2,46.65089996,23.14649311,5.345442035,13,65,,
105,90475,195140,2,49.65942187,24.95278303,2.493166841,2,54,,
105,585395,75183,2,50.17627803,23.58741161,3.549823622,21,74,,
105,727748,200152,2,49.57306865,30.32568784,3.895516566,31,83,,
105,668369,215328,2,50.94970469,26.51009935,3.991024982,12,65,,
105,811880,145130,2,42.77287756,31.10876244,5.725060399,41,83,,
105,446726,5086,2,50.30779743,27.85781714,3.216132228,14,67,,
105,19567,70121,2,45.60455301,32.01464218,6.809246153,9,51,,
105,585911,40117,2,46.3827522,26.10596336,2.527606863,3,56,,
105,616547,165250,2,49.46569595,26.14167714,2.502933433,27,80,,
105,382788,190122,2,48.25719873,25.2843429,7.249333314,25,78,,
105,345279,80086,2,43.85686912,29.58219108,9.239257916,33,85,,
105,185997,35237,3,41.3279848,35.28498124,5.832410699,4,37,77,
105,287588,210115,2,45.57283883,30.66798204,5.640891561,13,56,,
105,866456,193,2,48.19799329,27.57458679,3.079466917,25,77,,
105,665374,55133,2,50.87581732,25.59589685,2.285518719,11,62,,
105,999243,115030,2,46.29060655,24.90411723,3.259137142,32,86,,
105,215599,10074,2,47.83645194,23.17663706,3.337424998,1,53,,
105,934974,30056,2,48.66614625,23.99304036,4.822990051,4,57,,
105,354129,205213,2,45.40111411,27.35401771,4.864836875,24,77,,
